CustomerKey,GeographyKey,CustomerALTERNATEkEY,FullName,Gender,City,Sales TerritoryKey
11000,26,AW00011000,Jon Yang,Male,Rockhampton,9
11001,37,AW00011001,Eugene Huang,Male,Seaford,9
11002,31,AW00011002,Ruben Torres,Male,Hobart,9
11003,11,AW00011003,Christy Zhu,Female,North Ryde,9
11004,19,AW00011004,Elizabeth Johnson,Female,Wollongong,9
11005,22,AW00011005,Julio Ruiz,Male,East Brisbane,9
11006,8,AW00011006,Janet Alvarez,Female,Matraville,9
11007,40,AW00011007,Marco Mehta,Male,Warrnambool,9
11008,32,AW00011008,Rob Verhoff,Female,Bendigo,9
11009,25,AW00011009,Shannon Carlson,Male,Hervey Bay,9
11010,22,AW00011010,Jacquelyn Suarez,Female,East Brisbane,9
11011,22,AW00011011,Curtis Lu,Male,East Brisbane,9
11012,611,AW00011012,Lauren Walker,Female,Bremerton,1
11013,543,AW00011013,Ian Jenkins,Male,Lebanon,1
11014,634,AW00011014,Sydney Bennett,Female,Redmond,1
11015,301,AW00011015,Chloe Young,Female,Burbank,4
11016,329,AW00011016,Wyatt Hill,Male,Imperial Beach,4
11017,39,AW00011017,Shannon Wang,Female,Sunbury,9
11018,32,AW00011018,Clarence Rai,Male,Bendigo,9
11019,52,AW00011019,Luke Lal,Male,Langley,6
11020,53,AW00011020,Jordan King,Male,Metchosin,6
11021,536,AW00011021,Destiny Wilson,Female,Beaverton,1
11022,609,AW00011022,Ethan Zhang,Male,Bellingham,1
11023,298,AW00011023,Seth Edwards,Male,Bellflower,4
11024,311,AW00011024,Russell Xie,Male,Concord,4
11025,24,AW00011025,Alejandro Beck,Male,Hawthorne,9
11026,4,AW00011026,Harold Sai,Male,Goulburn,9
11027,40,AW00011027,Jessie Zhao,Male,Warrnambool,9
11028,17,AW00011028,Jill Jimenez,Female,St. Leonards,9
11029,32,AW00011029,Jimmy Moreno,Male,Bendigo,9
11030,28,AW00011030,Bethany Yuan,Female,Cloverdale,9
11031,8,AW00011031,Theresa Ramos,Female,Matraville,9
11032,35,AW00011032,Denise Stone,Female,Melbourne,9
11033,9,AW00011033,Jaime Nath,Male,Milsons Point,9
11034,12,AW00011034,Ebony Gonzalez,Female,North Sydney,9
11035,33,AW00011035,Wendy Dominguez,Female,Cranbourne,9
11036,343,AW00011036,Jennifer Russell,Female,National City,4
11037,49,AW00011037,Chloe Garcia,Female,Cliffside,6
11038,6,AW00011038,Diana Hernandez,Female,Lavender Bay,9
11039,19,AW00011039,Marc Martin,Male,Wollongong,9
11040,642,AW00011040,Jesse Murphy,Male,Tacoma,1
11041,325,AW00011041,Amanda Carter,Female,Glendale,4
11042,338,AW00011042,Megan Sanchez,Female,Los Angeles,4
11043,325,AW00011043,Nathan Simmons,Male,Glendale,4
11044,25,AW00011044,Adam Flores,Male,Hervey Bay,9
11045,8,AW00011045,Leonard Nara,Male,Matraville,9
11046,6,AW00011046,Christine Yuan,Female,Lavender Bay,9
11047,34,AW00011047,Jaclyn Lu,Female,Geelong,9
11048,39,AW00011048,Jeremy Powell,Male,Sunbury,9
11049,307,AW00011049,Carol Rai,Female,Chula Vista,4
11050,31,AW00011050,Alan Zheng,Male,Hobart,9
11051,21,AW00011051,Daniel Johnson,Male,Caloundra,9
11052,8,AW00011052,Heidi Lopez,Female,Matraville,9
11053,359,AW00011053,Ana Price,Female,San Diego,4
11054,34,AW00011054,Deanna Munoz,Female,Geelong,9
11055,22,AW00011055,Gilbert Raje,Male,East Brisbane,9
11056,10,AW00011056,Michele Nath,Female,Newcastle,9
11057,5,AW00011057,Carl Andersen,Male,Lane Cove,9
11058,29,AW00011058,Marc Diaz,Male,Findon,9
11059,27,AW00011059,Ashlee Andersen,Female,Townsville,9
11060,40,AW00011060,Jon Zhou,Male,Warrnambool,9
11061,23,AW00011061,Todd Gao,Male,Gold Coast,9
11062,547,AW00011062,Noah Powell,Male,Portland,1
11063,634,AW00011063,Angela Murphy,Female,Redmond,1
11064,315,AW00011064,Chase Reed,Male,Downey,4
11065,331,AW00011065,Jessica Henderson,Female,La Jolla,4
11066,543,AW00011066,Grace Butler,Female,Lebanon,1
11067,632,AW00011067,Caleb Carter,Male,Port Orchard,1
11068,40,AW00011068,Tiffany Liang,Female,Warrnambool,9
11069,23,AW00011069,Carolyn Navarro,Female,Gold Coast,9
11070,39,AW00011070,Willie Raji,Male,Sunbury,9
11071,24,AW00011071,Linda Serrano,Female,Hawthorne,9
11072,17,AW00011072,Casey Luo,Female,St. Leonards,9
11073,16,AW00011073,Amy Ye,Female,Springwood,9
11074,28,AW00011074,Levi Arun,Male,Cloverdale,9
11075,32,AW00011075,Felicia Jimenez,Female,Bendigo,9
11076,19,AW00011076,Blake Anderson,Male,Wollongong,9
11077,36,AW00011077,Leah Ye,Female,Melton,9
11078,49,AW00011078,Gina Martin,Female,Cliffside,6
11079,34,AW00011079,Donald Gonzalez,Male,Geelong,9
11080,30,AW00011080,Damien Chander,Male,Perth,9
11081,311,AW00011081,Savannah Baker,Female,Concord,4
11082,322,AW00011082,Angela Butler,Female,Fremont,4
11083,336,AW00011083,Alyssa Cox,Female,Lincoln Acres,4
11084,543,AW00011084,Lucas Phillips,Male,Lebanon,1
11085,345,AW00011085,Emily Johnson,Female,Newport Beach,4
11086,369,AW00011086,Ryan Brown,Male,Santa Monica,4
11087,307,AW00011087,Tamara Liang,Female,Chula Vista,4
11088,359,AW00011088,Hunter Davis,Male,San Diego,4
11089,337,AW00011089,Abigail Price,Female,Long Beach,4
11090,338,AW00011090,Trevor Bryant,Male,Los Angeles,4
11091,50,AW00011091,Dalton Perez,Male,Haney,6
11092,22,AW00011092,Cheryl Diaz,Female,East Brisbane,9
11093,19,AW00011093,Aimee He,Female,Wollongong,9
11094,33,AW00011094,Cedric Ma,Male,Cranbourne,9
11095,13,AW00011095,Chad Kumar,Male,Port Macquarie,9
11096,12,AW00011096,Andrés Anand,Male,North Sydney,9
11097,40,AW00011097,Edwin Nara,Male,Warrnambool,9
11098,14,AW00011098,Mallory Rubio,Female,Rhodes,9
11099,13,AW00011099,Adam Ross,Male,Port Macquarie,9
11100,28,AW00011100,Latasha Navarro,Female,Cloverdale,9
11101,33,AW00011101,Abby Sai,Female,Cranbourne,9
11102,18,AW00011102,Julia Nelson,Female,Sydney,9
11103,3,AW00011103,Cassie Chande,Female,Darlinghurst,9
11104,23,AW00011104,Edgar Sara,Male,Gold Coast,9
11105,8,AW00011105,Candace Fernandez,Female,Matraville,9
